policy,class_id,class_name,metric,p1_value,policy_value,absolute_delta,relative_delta_percent
P2,0,airplane,precision,0.85849057,0.83490566,-0.02358491,-2.74725275
P2,1,bird,precision,0.70857143,0.64285714,-0.06571429,-9.27419355
P2,2,car,precision,0.87623762,0.90104167,0.02480404,2.83074388
P2,3,cat,precision,0.48917749,0.48557692,-0.00360057,-0.73604493
P2,4,deer,precision,0.55502392,0.57711443,0.02209050,3.98009950
P2,5,dog,precision,0.48223350,0.44976077,-0.03247274,-6.73382020
P2,6,horse,precision,0.72677596,0.68500000,-0.04177596,-5.74812030
P2,7,monkey,precision,0.57281553,0.55980861,-0.01300692,-2.27069986
P2,8,ship,precision,0.90049751,0.90104167,0.00054415,0.06042818
P2,9,truck,precision,0.82608696,0.80512821,-0.02095875,-2.53711201
P2,0,airplane,recall,0.91000000,0.88500000,-0.02500000,-2.74725275
P2,1,bird,recall,0.62000000,0.58500000,-0.03500000,-5.64516129
P2,2,car,recall,0.88500000,0.86500000,-0.02000000,-2.25988701
P2,3,cat,recall,0.56500000,0.50500000,-0.06000000,-10.61946903
P2,4,deer,recall,0.58000000,0.58000000,0.00000000,0.00000000
P2,5,dog,recall,0.47500000,0.47000000,-0.00500000,-1.05263158
P2,6,horse,recall,0.66500000,0.68500000,0.02000000,3.00751880
P2,7,monkey,recall,0.59000000,0.58500000,-0.00500000,-0.84745763
P2,8,ship,recall,0.90500000,0.86500000,-0.04000000,-4.41988950
P2,9,truck,recall,0.76000000,0.78500000,0.02500000,3.28947368
P2,0,airplane,f1,0.88349515,0.85922330,-0.02427184,-2.74725275
P2,1,bird,f1,0.66133333,0.61256545,-0.04876789,-7.37417666
P2,2,car,f1,0.88059701,0.88265306,0.00205605,0.23348322
P2,3,cat,f1,0.52436195,0.49509804,-0.02926391,-5.58086066
P2,4,deer,f1,0.56723716,0.57855362,0.01131645,1.99501247
P2,5,dog,f1,0.47858942,0.45965770,-0.01893172,-3.95573285
P2,6,horse,f1,0.69451697,0.68500000,-0.00951697,-1.37030075
P2,7,monkey,f1,0.58128079,0.57212714,-0.00915365,-1.57473789
P2,8,ship,f1,0.90274314,0.88265306,-0.02009008,-2.22544819
P2,9,truck,f1,0.79166667,0.79493671,0.00327004,0.41305796
P2,0,airplane,specificity,0.98333333,0.98055556,-0.00277778,-0.28248588
P2,1,bird,specificity,0.97166667,0.96388889,-0.00777778,-0.80045740
P2,2,car,specificity,0.98611111,0.98944444,0.00333333,0.33802817
P2,3,cat,specificity,0.93444444,0.94055556,0.00611111,0.65398335
P2,4,deer,specificity,0.94833333,0.95277778,0.00444444,0.46865847
P2,5,dog,specificity,0.94333333,0.93611111,-0.00722222,-0.76560660
P2,6,horse,specificity,0.97222222,0.96500000,-0.00722222,-0.74285714
P2,7,monkey,specificity,0.95111111,0.94888889,-0.00222222,-0.23364486
P2,8,ship,specificity,0.98888889,0.98944444,0.00055556,0.05617978
P2,9,truck,specificity,0.98222222,0.97888889,-0.00333333,-0.33936652
P3,0,airplane,precision,0.85849057,0.81395349,-0.04453708,-5.18783542
P3,1,bird,precision,0.70857143,0.71111111,0.00253968,0.35842294
P3,2,car,precision,0.87623762,0.89500000,0.01876238,2.14124294
P3,3,cat,precision,0.48917749,0.48401826,-0.00515922,-1.05467329
P3,4,deer,precision,0.55502392,0.58823529,0.03321137,5.98377282
P3,5,dog,precision,0.48223350,0.47029703,-0.01193647,-2.47524752
P3,6,horse,precision,0.72677596,0.68556701,-0.04120895,-5.67010309
P3,7,monkey,precision,0.57281553,0.59420290,0.02138736,3.73372636
P3,8,ship,precision,0.90049751,0.91666667,0.01616915,1.79558011
P3,9,truck,precision,0.82608696,0.83957219,0.01348524,1.63242330
P3,0,airplane,recall,0.91000000,0.87500000,-0.03500000,-3.84615385
P3,1,bird,recall,0.62000000,0.64000000,0.02000000,3.22580645
P3,2,car,recall,0.88500000,0.89500000,0.01000000,1.12994350
P3,3,cat,recall,0.56500000,0.53000000,-0.03500000,-6.19469027
P3,4,deer,recall,0.58000000,0.60000000,0.02000000,3.44827586
P3,5,dog,recall,0.47500000,0.47500000,0.00000000,0.00000000
P3,6,horse,recall,0.66500000,0.66500000,0.00000000,0.00000000
P3,7,monkey,recall,0.59000000,0.61500000,0.02500000,4.23728814
P3,8,ship,recall,0.90500000,0.88000000,-0.02500000,-2.76243094
P3,9,truck,recall,0.76000000,0.78500000,0.02500000,3.28947368
P3,0,airplane,f1,0.88349515,0.84337349,-0.04012165,-4.54124189
P3,1,bird,f1,0.66133333,0.67368421,0.01235088,1.86757216
P3,2,car,f1,0.88059701,0.89500000,0.01440299,1.63559322
P3,3,cat,f1,0.52436195,0.50596659,-0.01839536,-3.50814202
P3,4,deer,f1,0.56723716,0.59405941,0.02682224,4.72857631
P3,5,dog,f1,0.47858942,0.47263682,-0.00595260,-1.24378109
P3,6,horse,f1,0.69451697,0.67512690,-0.01939007,-2.79187817
P3,7,monkey,f1,0.58128079,0.60442260,0.02314182,3.98117686
P3,8,ship,f1,0.90274314,0.89795918,-0.00478396,-0.52993573
P3,9,truck,f1,0.79166667,0.81136951,0.01970284,2.48878009
P3,0,airplane,specificity,0.98333333,0.97777778,-0.00555556,-0.56497175
P3,1,bird,specificity,0.97166667,0.97111111,-0.00055556,-0.05717553
P3,2,car,specificity,0.98611111,0.98833333,0.00222222,0.22535211
P3,3,cat,specificity,0.93444444,0.93722222,0.00277778,0.29726516
P3,4,deer,specificity,0.94833333,0.95333333,0.00500000,0.52724077
P3,5,dog,specificity,0.94333333,0.94055556,-0.00277778,-0.29446408
P3,6,horse,specificity,0.97222222,0.96611111,-0.00611111,-0.62857143
P3,7,monkey,specificity,0.95111111,0.95333333,0.00222222,0.23364486
P3,8,ship,specificity,0.98888889,0.99111111,0.00222222,0.22471910
P3,9,truck,specificity,0.98222222,0.98333333,0.00111111,0.11312217
P4,0,airplane,precision,0.85849057,0.93103448,0.07254392,8.45017052
P4,1,bird,precision,0.70857143,0.79144385,0.08287242,11.69570467
P4,2,car,precision,0.87623762,0.94974874,0.07351112,8.38940465
P4,3,cat,precision,0.48917749,0.58653846,0.09736097,19.90299523
P4,4,deer,precision,0.55502392,0.72139303,0.16636911,29.97512438
P4,5,dog,precision,0.48223350,0.56956522,0.08733171,18.10983982
P4,6,horse,precision,0.72677596,0.76165803,0.03488207,4.79956368
P4,7,monkey,precision,0.57281553,0.69398907,0.12117354,21.15402427
P4,8,ship,precision,0.90049751,0.94923858,0.04874107,5.41268194
P4,9,truck,precision,0.82608696,0.89949749,0.07341053,8.88653795
P4,0,airplane,recall,0.91000000,0.94500000,0.03500000,3.84615385
P4,1,bird,recall,0.62000000,0.74000000,0.12000000,19.35483871
P4,2,car,recall,0.88500000,0.94500000,0.06000000,6.77966102
P4,3,cat,recall,0.56500000,0.61000000,0.04500000,7.96460177
