policy,epoch,selected_c,dev_log_loss_mean,dev_log_loss_sd,dev_accuracy_mean,dev_accuracy_sd,dev_f1_macro_mean,dev_f1_macro_sd,selected_checkpoint
P1,50,0.10000000,0.99514642,0.09347955,0.68900000,0.03306559,0.68670163,0.03334055,0
P1,60,0.10000000,0.96252562,0.06043145,0.68250000,0.01814295,0.68109463,0.01821534,0
P1,70,0.10000000,0.94012400,0.07653784,0.69700000,0.02626785,0.69637076,0.02607959,0
P1,80,0.10000000,0.94210841,0.07582031,0.69350000,0.03188957,0.69268074,0.03122229,0
P1,90,0.10000000,0.93820153,0.07971883,0.69500000,0.02972092,0.69435526,0.02862613,0
P1,100,0.10000000,0.93206646,0.07714048,0.69550000,0.02629427,0.69508820,0.02567767,1
P2,50,0.10000000,1.03025656,0.11345263,0.65700000,0.04779586,0.65649281,0.04617860,0
P2,60,0.10000000,0.99247108,0.09808005,0.66600000,0.05373805,0.66449497,0.05324466,0
P2,70,0.10000000,0.99118136,0.10782519,0.67750000,0.04111299,0.67580138,0.04049073,0
P2,80,0.10000000,0.96989982,0.11600555,0.67350000,0.04649074,0.67234914,0.04474733,0
P2,90,0.10000000,0.96757355,0.11478525,0.68300000,0.04391912,0.68182024,0.04151790,0
P2,100,0.10000000,0.96740022,0.11375593,0.68100000,0.04771443,0.68055451,0.04440131,1
P3,50,0.10000000,1.01023268,0.08534779,0.67250000,0.02811188,0.67305211,0.02737265,0
P3,60,0.10000000,0.97523469,0.06882501,0.68200000,0.02562551,0.68125510,0.02594904,0
P3,70,0.10000000,0.99085917,0.08847174,0.68400000,0.02643651,0.68383408,0.02632543,0
P3,80,0.10000000,0.96594148,0.08740787,0.70300000,0.02428992,0.70229290,0.02467031,0
P3,90,0.10000000,0.95978050,0.08755430,0.69300000,0.02371123,0.69186310,0.02489730,0
P3,100,0.10000000,0.95340130,0.08609893,0.69600000,0.02319004,0.69480553,0.02381312,1
P4,50,0.10000000,0.71484454,0.06433972,0.76000000,0.02000000,0.76014855,0.01937380,0
P4,60,0.10000000,0.68849244,0.06737386,0.76550000,0.02254009,0.76557052,0.02268298,0
P4,70,0.10000000,0.65919473,0.04893434,0.77150000,0.02186448,0.77123550,0.02109552,0
P4,80,0.10000000,0.64604794,0.05619787,0.77650000,0.02135025,0.77692018,0.02115526,0
P4,90,0.10000000,0.64521995,0.06160762,0.77750000,0.02137626,0.77798323,0.02117308,0
P4,100,0.10000000,0.63867467,0.06297530,0.78200000,0.02551688,0.78251099,0.02587598,1
