beta,k,dev_accuracy_mean,dev_accuracy_std,edge_purity,component_coverage,iterations_mean
0.00000000,5,0.22100000,0.03238655,0.58250192,0.99995429,1335.70000000
0.00000000,10,0.20850000,0.02404279,0.54207921,1.00000000,1048.80000000
0.00000000,15,0.20350000,0.02450057,0.51138193,1.00000000,1013.90000000
0.00000000,20,0.20500000,0.02108185,0.49070374,1.00000000,1003.70000000
0.00000000,30,0.19000000,0.02818589,0.46771581,1.00000000,994.20000000
0.00000000,50,0.17000000,0.02260777,0.44052187,1.00000000,987.40000000
0.00100000,5,0.21350000,0.03366914,0.59242424,0.99995429,1278.40000000
0.00100000,10,0.20100000,0.02105548,0.53846154,1.00000000,1049.60000000
0.00100000,15,0.20250000,0.02098280,0.51270100,1.00000000,1013.80000000
0.00100000,20,0.20150000,0.02571748,0.49296997,1.00000000,1002.70000000
0.00100000,30,0.18500000,0.02687419,0.46391038,1.00000000,993.80000000
0.00100000,50,0.17050000,0.02087662,0.43625246,1.00000000,986.70000000
0.00300000,5,0.22150000,0.03440365,0.58864160,0.99989714,1313.10000000
0.00300000,10,0.21100000,0.02401388,0.53480238,1.00000000,1044.40000000
0.00300000,15,0.20250000,0.02124591,0.51964659,1.00000000,1012.40000000
0.00300000,20,0.20100000,0.01776388,0.49626152,1.00000000,1002.70000000
0.00300000,30,0.18500000,0.02438123,0.46712883,1.00000000,993.50000000
0.00300000,50,0.16950000,0.02241651,0.44023835,1.00000000,986.80000000
0.01000000,5,0.21700000,0.03128720,0.58628485,0.99995429,2170.40000000
0.01000000,10,0.20350000,0.02261391,0.53377903,1.00000000,1048.50000000
0.01000000,15,0.20000000,0.02068279,0.50991697,1.00000000,1010.00000000
0.01000000,20,0.20350000,0.02261391,0.48816568,1.00000000,999.80000000
0.01000000,30,0.18400000,0.03044120,0.46589862,1.00000000,991.60000000
0.01000000,50,0.16750000,0.02163459,0.44103823,1.00000000,985.00000000
0.03000000,5,0.21800000,0.03384606,0.59529233,0.99995429,1210.00000000
0.03000000,10,0.21350000,0.02160890,0.54916318,1.00000000,1046.40000000
0.03000000,15,0.20250000,0.01859659,0.52351457,1.00000000,1000.40000000
0.03000000,20,0.20550000,0.02074314,0.49965870,1.00000000,993.10000000
0.03000000,30,0.19250000,0.03020761,0.47841440,1.00000000,985.20000000
0.03000000,50,0.17100000,0.01744834,0.44682765,1.00000000,976.60000000
0.10000000,5,0.22850000,0.03308659,0.63027108,1.00000000,1128.10000000
0.10000000,10,0.22050000,0.03040925,0.56832825,1.00000000,1004.00000000
0.10000000,15,0.21900000,0.02330951,0.53859727,1.00000000,977.30000000
0.10000000,20,0.21550000,0.02712625,0.51110745,1.00000000,967.10000000
0.10000000,30,0.19850000,0.03391575,0.48358010,1.00000000,961.60000000
0.10000000,50,0.17350000,0.02953811,0.45170359,1.00000000,955.90000000
0.30000000,5,0.21400000,0.03518207,0.61082283,1.00000000,1129.80000000
0.30000000,10,0.20800000,0.03560587,0.54236718,1.00000000,985.40000000
0.30000000,15,0.20650000,0.02819082,0.51477072,1.00000000,961.80000000
0.30000000,20,0.20650000,0.03018922,0.49802437,1.00000000,950.40000000
0.30000000,30,0.18850000,0.02539138,0.47348735,1.00000000,944.80000000
0.30000000,50,0.16750000,0.01961434,0.44267238,1.00000000,942.30000000
1.00000000,5,0.21050000,0.03022600,0.55632184,1.00000000,1098.60000000
1.00000000,10,0.21450000,0.03475709,0.50692042,1.00000000,973.30000000
1.00000000,15,0.20950000,0.03104209,0.47753064,1.00000000,953.20000000
1.00000000,20,0.21000000,0.03027650,0.45658784,1.00000000,945.40000000
1.00000000,30,0.19000000,0.02013841,0.43146400,1.00000000,937.20000000
1.00000000,50,0.16750000,0.02098280,0.40085200,1.00000000,933.40000000
