beta,k,alpha,dev_accuracy_mean,dev_accuracy_std,edge_purity,component_coverage,unreachable_mean,iterations_mean
0.00000000,5,0.50000000,0.32200000,0.02496664,0.58250192,0.99995429,4.80000000,13.30000000
0.00000000,5,0.80000000,0.34800000,0.02679138,0.58250192,0.99995429,4.80000000,32.60000000
0.00000000,5,0.90000000,0.35600000,0.02705960,0.58250192,0.99995429,4.80000000,53.50000000
0.00000000,5,0.95000000,0.36100000,0.02258318,0.58250192,0.99995429,4.80000000,77.80000000
0.00000000,5,0.99000000,0.28650000,0.04478653,0.58250192,0.99995429,4.80000000,148.30000000
0.00000000,10,0.50000000,0.34950000,0.03499603,0.54207921,1.00000000,0.00000000,12.10000000
0.00000000,10,0.80000000,0.37000000,0.03153481,0.54207921,1.00000000,0.00000000,26.30000000
0.00000000,10,0.90000000,0.37950000,0.03427422,0.54207921,1.00000000,0.00000000,40.80000000
0.00000000,10,0.95000000,0.37750000,0.03276601,0.54207921,1.00000000,0.00000000,59.70000000
0.00000000,10,0.99000000,0.23900000,0.03518207,0.54207921,1.00000000,0.00000000,121.00000000
0.00000000,15,0.50000000,0.36800000,0.03473711,0.51138193,1.00000000,0.00000000,11.60000000
0.00000000,15,0.80000000,0.39300000,0.03318299,0.51138193,1.00000000,0.00000000,23.60000000
0.00000000,15,0.90000000,0.38900000,0.03272783,0.51138193,1.00000000,0.00000000,35.60000000
0.00000000,15,0.95000000,0.37700000,0.03224903,0.51138193,1.00000000,0.00000000,49.60000000
0.00000000,15,0.99000000,0.23200000,0.03259175,0.51138193,1.00000000,0.00000000,83.80000000
0.00000000,20,0.50000000,0.38150000,0.03399755,0.49070374,1.00000000,0.00000000,10.70000000
0.00000000,20,0.80000000,0.39350000,0.03621310,0.49070374,1.00000000,0.00000000,22.30000000
0.00000000,20,0.90000000,0.38550000,0.03585852,0.49070374,1.00000000,0.00000000,32.20000000
0.00000000,20,0.95000000,0.36900000,0.03462497,0.49070374,1.00000000,0.00000000,45.60000000
0.00000000,20,0.99000000,0.22950000,0.02241651,0.49070374,1.00000000,0.00000000,79.20000000
0.00000000,30,0.50000000,0.38300000,0.03802046,0.46771581,1.00000000,0.00000000,10.00000000
0.00000000,30,0.80000000,0.38450000,0.03585852,0.46771581,1.00000000,0.00000000,20.90000000
0.00000000,30,0.90000000,0.37800000,0.02820559,0.46771581,1.00000000,0.00000000,30.90000000
0.00000000,30,0.95000000,0.35750000,0.02324388,0.46771581,1.00000000,0.00000000,44.30000000
0.00000000,30,0.99000000,0.21600000,0.02492210,0.46771581,1.00000000,0.00000000,74.20000000
0.00000000,50,0.50000000,0.37700000,0.03622461,0.44052187,1.00000000,0.00000000,10.00000000
0.00000000,50,0.80000000,0.37750000,0.03490065,0.44052187,1.00000000,0.00000000,20.00000000
0.00000000,50,0.90000000,0.36400000,0.02846050,0.44052187,1.00000000,0.00000000,29.60000000
0.00000000,50,0.95000000,0.34600000,0.02904020,0.44052187,1.00000000,0.00000000,42.50000000
0.00000000,50,0.99000000,0.19100000,0.03125167,0.44052187,1.00000000,0.00000000,68.10000000
0.00100000,5,0.50000000,0.33300000,0.03750556,0.59242424,0.99995429,4.80000000,13.40000000
0.00100000,5,0.80000000,0.35300000,0.04164666,0.59242424,0.99995429,4.80000000,32.70000000
0.00100000,5,0.90000000,0.35900000,0.03381321,0.59242424,0.99995429,4.80000000,53.80000000
0.00100000,5,0.95000000,0.35650000,0.03590497,0.59242424,0.99995429,4.80000000,78.20000000
0.00100000,5,0.99000000,0.28950000,0.03585852,0.59242424,0.99995429,4.80000000,152.50000000
0.00100000,10,0.50000000,0.35750000,0.02830881,0.53846154,1.00000000,0.00000000,12.00000000
0.00100000,10,0.80000000,0.37550000,0.03022600,0.53846154,1.00000000,0.00000000,26.00000000
0.00100000,10,0.90000000,0.38100000,0.03414023,0.53846154,1.00000000,0.00000000,40.50000000
0.00100000,10,0.95000000,0.37900000,0.03281260,0.53846154,1.00000000,0.00000000,59.60000000
0.00100000,10,0.99000000,0.24000000,0.03118048,0.53846154,1.00000000,0.00000000,120.90000000
0.00100000,15,0.50000000,0.36900000,0.03204164,0.51270100,1.00000000,0.00000000,11.50000000
0.00100000,15,0.80000000,0.38550000,0.02793345,0.51270100,1.00000000,0.00000000,23.70000000
0.00100000,15,0.90000000,0.38600000,0.03044120,0.51270100,1.00000000,0.00000000,35.80000000
0.00100000,15,0.95000000,0.37000000,0.02505549,0.51270100,1.00000000,0.00000000,49.40000000
0.00100000,15,0.99000000,0.23050000,0.02314807,0.51270100,1.00000000,0.00000000,83.30000000
0.00100000,20,0.50000000,0.37550000,0.03832971,0.49296997,1.00000000,0.00000000,10.70000000
